Date,VN_Index_Close,Total Volume,Total Value
2010-06-15,508.01,48883200.0,157650000000.0
2010-06-16,510.72,51048770.0,123900000000.0
2010-06-17,510.76,53974341.0,332250000000.0
2010-06-18,511.18,63450680.0,408390000000.0
2010-06-21,514.75,48628810.0,92660000000.0
2010-06-22,512.63,78391183.0,136160000000.0
2010-06-23,512.82,49290470.0,168540000000.0
2010-06-24,511.67,53136004.0,110680000000.0
2010-06-25,505.12,52234380.0,83260000000.0
2010-06-28,507.28,48064122.0,236890000000.0
2010-06-29,510.71,46606670.0,179370000000.0
2010-06-30,507.14,59174620.0,385470000000.0
2010-07-01,504.02,47259000.0,205070000000.0
2010-07-02,503.65,42321910.0,164600000000.0
2010-07-05,506.54,39614900.0,138050000000.0
2010-07-06,500.82,52536630.0,210530000000.0
2010-07-07,496.91,46412640.0,213730000000.0
2010-07-08,498.55,42417910.0,186900000000.0
2010-07-09,499.46,30833270.0,70550000000.0
2010-07-12,499.93,36909330.0,255390000000.0
2010-07-13,509.08,47025120.0,126960000000.0
2010-07-14,507.34,53204782.0,137800000000.0
2010-07-15,505.19,42691750.0,135530000000.0
2010-07-16,506.21,46030761.0,110400000000.0
2010-07-19,506.84,43413230.0,118840000000.0
2010-07-20,506.56,47750100.0,169620000000.0
2010-07-21,505.4,50043350.0,194880000000.0
2010-07-22,500.28,50035310.0,151020000000.0
2010-07-23,500.31,39663900.0,108020000000.0
2010-07-26,498.1,42462460.0,95490000000.0
2010-07-27,497.67,43165440.0,82970000000.0
2010-07-28,491.0,46860230.0,231510000000.0
2010-07-29,491.11,37473610.0,89380000000.0
2010-07-30,493.91,46042970.0,212190000000.0
2010-08-02,491.61,37376423.0,113350000000.0
2010-08-03,491.9,42360940.0,134270000000.00002
2010-08-04,486.71,41528050.0,210860000000.0
2010-08-05,486.21,37421290.0,191250000000.0
2010-08-06,482.82,36668138.0,175590000000.0
2010-08-09,472.74,43433370.0,119420000000.0
2010-08-10,461.67,57297150.0,269350000000.00003
2010-08-11,463.12,40058910.0,188010000000.0
2010-08-12,448.4,49741566.0,101050000000.0
2010-08-13,452.73,45954343.0,224680000000.0
